idx,bus_line,bus_line_passage,bus_stop,bus_time,metro_stop,metro_time_from_origin,origin_ref,date
22,Metro,Metro,Portela,10:44:00,Portela do Mondego,,Portagem,2026-07-13
23,Metro,Metro,Portela,11:14:00,Portela do Mondego,,Portagem,2026-07-13
24,Metro,Metro,Portela,11:44:00,Portela do Mondego,,Portagem,2026-07-13
25,Metro,Metro,Portela,12:14:00,Portela do Mondego,,Portagem,2026-07-13
26,Metro,Metro,Portela,12:44:00,Portela do Mondego,,Portagem,2026-07-13
27,Metro,Metro,Portela,13:14:00,Portela do Mondego,,Portagem,2026-07-13
28,Metro,Metro,Portela,13:44:00,Portela do Mondego,,Portagem,2026-07-13
29,Metro,Metro,Portela,14:14:00,Portela do Mondego,,Portagem,2026-07-13
30,Metro,Metro,Portela,15:14:00,Portela do Mondego,,Portagem,2026-07-13
31,Metro,Metro,Portela,16:37:00,Portela do Mondego,,Portagem,2026-07-13
32,Metro,Metro,Portela,17:07:00,Portela do Mondego,,Portagem,2026-07-13
33,Metro,Metro,Portela,17:37:00,Portela do Mondego,,Portagem,2026-07-13
34,Metro,Metro,Portela,18:07:00,Portela do Mondego,,Portagem,2026-07-13
35,Metro,Metro,Portela,18:37:00,Portela do Mondego,,Portagem,2026-07-13
36,Metro,Metro,Portela,19:07:00,Portela do Mondego,,Portagem,2026-07-13
37,Metro,Metro,Portela,19:27:00,Portela do Mondego,,Portagem,2026-07-13
38,Metro,Metro,Portela,20:14:00,Portela do Mondego,,Portagem,2026-07-13
39,Metro,Metro,Portela,21:14:00,Portela do Mondego,,Portagem,2026-07-13
40,Metro,Metro,Portela,22:14:00,Portela do Mondego,,Portagem,2026-07-13
41,Metro,Metro,Portela,23:14:00,Portela do Mondego,,Portagem,2026-07-13
1,Metro,Metro,Portela,06:14:00,Portela do Mondego,07:12:00,Portagem,2026-07-13
2,Metro,Metro,Portela,06:44:00,Portela do Mondego,07:52:00,Portagem,2026-07-13
3,Metro,Metro,Portela,07:14:00,Portela do Mondego,08:32:00,Portagem,2026-07-13
4,Metro,Metro,Portela,07:24:00,Portela do Mondego,09:12:00,Portagem,2026-07-13
5,Metro,Metro,Portela,07:36:00,Portela do Mondego,09:52:00,Portagem,2026-07-13
6,Metro,Metro,Portela,07:44:00,Portela do Mondego,10:32:00,Portagem,2026-07-13
7,Metro,Metro,Portela,07:54:00,Portela do Mondego,11:12:00,Portagem,2026-07-13
8,Metro,Metro,Portela,08:07:00,Portela do Mondego,11:52:00,Portagem,2026-07-13
9,Metro,Metro,Portela,08:17:00,Portela do Mondego,12:32:00,Portagem,2026-07-13
10,Metro,Metro,Portela,08:27:00,Portela do Mondego,13:12:00,Portagem,2026-07-13
11,Metro,Metro,Portela,08:37:00,Portela do Mondego,13:52:00,Portagem,2026-07-13
12,Metro,Metro,Portela,08:47:00,Portela do Mondego,14:32:00,Portagem,2026-07-13
13,Metro,Metro,Portela,08:57:00,Portela do Mondego,15:12:00,Portagem,2026-07-13
14,Metro,Metro,Portela,09:07:00,Portela do Mondego,15:52:00,Portagem,2026-07-13
15,Metro,Metro,Portela,09:17:00,Portela do Mondego,16:32:00,Portagem,2026-07-13
16,Metro,Metro,Portela,09:27:00,Portela do Mondego,17:12:00,Portagem,2026-07-13
17,Metro,Metro,Portela,09:37:00,Portela do Mondego,17:52:00,Portagem,2026-07-13
18,Metro,Metro,Portela,09:47:00,Portela do Mondego,18:32:00,Portagem,2026-07-13
19,Metro,Metro,Portela,09:57:00,Portela do Mondego,19:12:00,Portagem,2026-07-13
20,Metro,Metro,Portela,10:06:00,Portela do Mondego,19:52:00,Portagem,2026-07-13
21,Metro,Metro,Portela,10:14:00,Portela do Mondego,20:32:00,Portagem,2026-07-13
22,Metro,Metro,Portela,06:14:00,Portela do Mondego,07:32:00,Portagem,2026-07-13
23,Metro,Metro,Portela,06:44:00,Portela do Mondego,08:12:00,Portagem,2026-07-13
24,Metro,Metro,Portela,07:14:00,Portela do Mondego,08:52:00,Portagem,2026-07-13
25,Metro,Metro,Portela,07:24:00,Portela do Mondego,09:32:00,Portagem,2026-07-13
